slug,side,original,name,country,born,died,life,work,workDate,subtitle,paragraph,tag,link,priorSlug,nextSlug,spotTop,spotLeft
adams,R,images/og/adams.png,John Adams,England,(unknown),1738,"England, (unknown)-1738",England's Entire Map with Distance,1679,Angliae totius tabula cum distancii notoribus in itinerantium usum accommodata,A travel map of England showing distances between cities arranged for the use of travelers. Network diagram on a map.,DISTANCE NETWORK MAP,https://en.wikipedia.org/wiki/John_Adams_(cartographer),speed,plot,-114.28%,-87.90%
balbi,R,images/og/balbi.png,Adriano Balbi,Italy,1782,1848,"Italy, 1782-1848",Crime Map,1829,L'état de l'instruction et du nombre des crimes,"The first comparative choropleth thematic maps, showing crimes against persons and crimes against property in relation to level of instruction by departments in France, with André-Michel Guerry.",COMPARATIVE CHOROPLETHS,https://en.wikipedia.org/wiki/Adriano_Balbi,guerry,montizon,-67.03%,-61.92%
berghaus,L,images/og/berghaus.png,Heinrich Berghaus,Germany,1797,1884,"Germany, 1797-1884",Physical atlas,1848,Physikalischer Atlas,"One of the most extensive and detailed thematic atlases, an illustration of Alexander von Humboldt's Cosmos. With distribution of plants, animals, and climate. Most of the maps contained tables, graphs, pictorial profiles of distributions over altitude, and other visual accompaniments including cross sectional diagrams.",THEMATIC ATLAS,http://libweb5.princeton.edu/visual_materials/maps/websites/thematic-maps/landmark-thematic-atlases/landmark-thematic-atlases.html,quetelet2,minard1,-104.25%,-46.24%
booth,L,images/og/booth.png,Charles Booth,England,1840,1916,"England, 1840-1916",London Poverty Map,1899,Inquiry into Life and Labour in London,"Early example of social cartography, each street is colored to indicate the income and social class of its inhabitants. Updated and expanded 1889 first edition to 12 sheets total. Published  in the survey volumes between 1902 and 1903.",POVERTY MAP,https://booth.lse.ac.uk/map/14/-0.1174/51.5064/100/0,sankey,dubois,-71.50%,-18.12%
bowditch,L,images/og/bowditch.png,Henry Pickering Bowditch,USA,1840,1911,"USA, 1840-1911",Board of Health of the State of Massachusetts,1877,Relation of height to weight in Boston schoolboys,"Extensive survey of 24,500 children. Early ideas of correlation and curvilinear regression across many charts.",CURVILINEAR REGRESSION,https://books.google.com/books?id=EJjP2UX1tLAC&pg=PA191&lpg=PA191&dq=bowditch+height+chart&source=bl&ots=OEstdQHXPC&sig=Tp-jlKzWMoZaUv5ZXRMdKzF8HvM&hl=en&sa=X&ved=0ahUKEwiTi6Dk0IzWAhUjwlQKHXc1CeUQ6AEIRDAI#v=onepage&q=bowditch%20height%20chart&f=false,lexis,muybridge,-127.63%,-14.36%
bowley,L,images/og/bowley.png,Arthur L. Bowley,England,1869,1957,"England, 1869-1957",Exports from England and Ireland,1901,Elements of Statistics,"Early statistical textbook with graphical analysis of time-series data showing that while the initial series showed wide variability, moving averages made the series progressively smoother.",MOVING AVERAGE,https://books.google.com/books?id=zHB1R1rCMTEC&printsec=frontcover#v=snippet&q=%22So%20far%20our%20discussion%20of%20Bowley's%20books%22&f=false,dubois,maunder,-63.20%,-10.79%
brandes,R,images/og/brandes.png,Heinrich Wilhelm Brandes,Hamburg (Germany),1777,1834,"Hamburg (Germany), 1777-1834",Air pressure distribution,1816,*1905 reconstruction shown,"Set of weather maps ""hindcasted"" for each day of the year 1783. Plotted air pressure values and then drew isobars, lines of equal air pressure, by hand.",WEATHER MAP,https://en.wikipedia.org/wiki/Heinrich_Wilhelm_Brandes,smith,humboldt2,-59.66%,-69.85%
buache1,R,images/og/buache1.png,Jean-Étienne Guettard,France,1715,1786,"France, 1715-1786",A Mineralogical Map,1746,Engraved by Philippe Buache,First map to show bands or zones of surface geological similarity. With symbols to identify  locations of different rocks and minerals.,GEOLOGIC MAP,https://en.wikipedia.org/wiki/Jean-%C3%89tienne_Guettard,lancisi,buache2,-63.70%,-91.02%
buache2,R,images/og/buache2.png,Philippe Buache,France,1700,1773,"France, 1700-1773",Physical Map or Natural Geography of France,1752,Carte Physique ou Géographie Naturelle de la France,Early contour map. Details of English Channel suggest modern nautical charts.,CONTOUR MAP,http://www.davidrumsey.com/maps1080052-25811.html,buache1,dubourg,-63.07%,-85.84%
cheysson,L,images/og/cheysson.png,Émile Cheysson,France,1836,1910,"France, 1836-1910",Acceleration of Trips in France ,1888,Across 200 Years,"First cartogram, using a deformation of spatial size to show a quantitative variable: the decrease in time to travel from Paris to various places in France over 200 years.",CARTOGRAM,https://en.wikipedia.org/wiki/%C3%89mile_Cheysson,marey2,sankey,-78.85%,-11.80%
crome,R,images/og/crome.png,August Friedrich Wilhelm Crome,Germany,1753,1833,"Hanover (Germany), 1753-1833",Great Map of Europe,1785,Groessen Karte von Europa,One of the first comparison diagrams: superimposed squares compare land areas of European states. He updated it  in 1818 (and incorporated Playfair's pie chart).,COMPARISON DIAGRAM,https://en.wikipedia.org/wiki/August_Friedrich_Wilhelm_Crome#Other_remarkable_maps,fourcroy,playfair2,-92.64%,-73.76%
darwin,R,images/og/darwin.png,Charles Darwin,England,1809,1882,"England, 1809-1882",Tree of Life,1837,"""B"" Notebook","Vision for diverging adaptation as genealogical branching from a common ancestor. Refined and eventually published in 'On the Origin of the Species' (1859).",EVOLUTIONARY TREE,https://en.wikipedia.org/wiki/Inception_of_Darwin%27s_theory#B_notebook,harness,prichard,-58.87%,-58.94%
dubois,L,images/og/dubois.png,W.E.B. Du Bois,USA,1868,1963,"USA, 1868-1963",City and Rural Population 1890,1900,The Exhibit of American Negroes,Spiral diagram highlights the dramatic majority of Georgia African Americans who live outside cities (red).,DU BOIS SPIRAL,https://medium.com/@Elijah_Meeks/how-to-remake-historical-data-visualization-and-why-you-should-c25874fc4804,booth,bowley,-63.20%,-19.17%
dubourg,R,images/og/dubourg.png,Jacques Barbeu-Dubourg,France,1709,1779,"France, 1709-1779",Chronological map,1753,Carte (et Machine) Chronographique,"An annotated timeline of history (from Creation) on a 54-foot continuous scroll, including names and descriptive events, grouped thematically, with symbols denoting character and profession.",TIMELINE,http://www.princeton.edu/~ferguson/PULC_1991_duBourg.pdf,buache2,lambert,-133.87%,-68.74%
dupin,R,images/og/dupin.png,Baron Pierre Charles Dupin,France,1784,1873,"France, 1784-1873",Illiteracy Map,1819,Carte figurative de l'instruction populaire de la France,First choropleth map. Darker shadings indicate lower student density. Used to argue for Northern industriousness.,CHOROPLETH,http://gallica.bnf.fr/ark:/12148/btv1b530830640/f1.item.r=Charles%20DUPIN,humboldt2,fourier,-110.99%,-60.12%
